"id","marketSlug","detectedAt","eventType","severity","detail","is_true_positive","verification_notes"
"588","presidential-election-winner-2024","2024-09-23 15:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4785, 'window': 30, 'z_score': 2.597094115354736, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"587","presidential-election-winner-2024","2024-09-22 19:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4695, 'window': 30, 'z_score': -2.520580979802481, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"586","presidential-election-winner-2024","2024-09-22 17:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4705, 'window': 30, 'z_score': -2.794186346533399, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"585","presidential-election-winner-2024","2024-09-22 01:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4735, 'window': 30, 'z_score': -3.117857872865087, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"584","presidential-election-winner-2024","2024-09-19 07:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4615, 'window': 30, 'z_score': -1.8871908272164104, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"583","presidential-election-winner-2024","2024-09-19 06:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4635, 'window': 30, 'z_score': -1.7984470087808302, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"582","presidential-election-winner-2024","2024-09-19 03:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4645, 'window': 30, 'z_score': -2.1301761355925106, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"581","presidential-election-winner-2024","2024-09-19 02:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4655, 'window': 30, 'z_score': -2.2242892769497304, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"580","presidential-election-winner-2024","2024-09-19 01:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4635, 'window': 30, 'z_score': -2.9273286350527483, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"579","presidential-election-winner-2024","2024-09-19 00:00:01+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4675, 'window': 30, 'z_score': -2.6893368495420185, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
