id,marketSlug,detectedAt,eventType,severity,detail,is_true_positive,verification_notes
869,will-trump-acquire-greenland-before-2027,2026-03-19 06:00:54+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0775, 'window': 30, 'z_score': -1.9625645150708124, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
868,will-trump-acquire-greenland-before-2027,2026-03-19 05:00:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0735, 'window': 30, 'z_score': -2.782276517787641, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
867,will-trump-acquire-greenland-before-2027,2026-03-19 04:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0725, 'window': 30, 'z_score': -3.5548351780203675, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
866,will-trump-acquire-greenland-before-2027,2026-03-19 03:00:41+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0775, 'window': 30, 'z_score': -3.8051287773305655, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
865,will-trump-acquire-greenland-before-2027,2026-03-19 02:00:32+00:00,zscore_spike_manual,high,"{'mode': 'manual_sql', 'price': 0.0815, 'window': 30, 'z_score': -4.3266450652552155, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
864,will-trump-acquire-greenland-before-2027,2026-03-18 19:00:35+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.089, 'window': 30, 'z_score': -3.4435868697393213, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
863,will-trump-acquire-greenland-before-2027,2026-03-17 23:00:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0965, 'window': 30, 'z_score': 2.529956575146204, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
766,what-will-happen-before-gta-vi,2026-03-17 11:00:27+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.55, 'window': 30, 'z_score': 2.552297994569857, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
862,will-trump-acquire-greenland-before-2027,2026-03-16 13:00:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0825, 'window': 30, 'z_score': -3.7063586314249655, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
861,will-trump-acquire-greenland-before-2027,2026-03-16 12:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0865, 'window': 30, 'z_score': -3.09650537837175, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
860,will-trump-acquire-greenland-before-2027,2026-03-16 11:00:25+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.088, 'window': 30, 'z_score': -2.6011097668373764, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
765,what-will-happen-before-gta-vi,2026-03-15 11:00:22+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.52, 'window': 30, 'z_score': -1.75887202235488, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
859,will-trump-acquire-greenland-before-2027,2026-03-15 10:00:35+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.093, 'window': 30, 'z_score': -2.1392445517608785, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
764,what-will-happen-before-gta-vi,2026-03-15 10:00:24+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.515, 'window': 30, 'z_score': -2.163406889309156, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
858,will-trump-acquire-greenland-before-2027,2026-03-15 09:00:38+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.092, 'window': 30, 'z_score': -2.7609756805101258, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
857,will-trump-acquire-greenland-before-2027,2026-03-15 08:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0925, 'window': 30, 'z_score': -3.154943425273906, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
856,will-trump-acquire-greenland-before-2027,2026-03-15 07:00:27+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0945, 'window': 30, 'z_score': -3.0893065813214196, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
855,will-trump-acquire-greenland-before-2027,2026-03-15 02:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.097, 'window': 30, 'z_score': -3.5361056529216044, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
854,will-trump-acquire-greenland-before-2027,2026-03-15 01:00:27+00:00,zscore_spike_manual,high,"{'mode': 'manual_sql', 'price': 0.0975, 'window': 30, 'z_score': -4.374323170091177, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
853,will-trump-acquire-greenland-before-2027,2026-03-15 00:00:42+00:00,zscore_spike_manual,high,"{'mode': 'manual_sql', 'price': 0.0995, 'window': 30, 'z_score': -4.328042380222089, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
763,what-will-happen-before-gta-vi,2026-03-14 19:00:23+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -1.6005753292484002, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
762,what-will-happen-before-gta-vi,2026-03-14 18:00:25+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -1.7464793936165899, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
761,what-will-happen-before-gta-vi,2026-03-14 17:00:32+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -1.9223636821290375, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
760,what-will-happen-before-gta-vi,2026-03-14 16:00:26+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.54, 'window': 30, 'z_score': -1.920347661024582, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
759,what-will-happen-before-gta-vi,2026-03-14 14:00:26+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -2.623040591229729, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
758,what-will-happen-before-gta-vi,2026-03-14 13:00:27+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -3.128968567025731, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
757,what-will-happen-before-gta-vi,2026-03-14 12:00:32+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -3.9770151946317154, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
756,what-will-happen-before-gta-vi,2026-03-13 19:00:28+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.605, 'window': 30, 'z_score': 1.444718271620471, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
755,what-will-happen-before-gta-vi,2026-03-13 15:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.605, 'window': 30, 'z_score': 1.7777273962747824, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
